approach,scenario,run,state,state_name,action,action_name,qvalue
rl1,cenario1_tempo_fixo/310s_20percent,17,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,68.0701
rl1,cenario1_tempo_fixo/310s_20percent,17,1,SIMILARITY_HIGH,1,ALLOCATE,98.31
rl1,cenario1_tempo_fixo/310s_20percent,18,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,18,0,SIMILARITY_MEDIUM,1,ALLOCATE,20.6386
rl1,cenario1_tempo_fixo/310s_20percent,18,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,69.6436
rl1,cenario1_tempo_fixo/310s_20percent,18,1,SIMILARITY_HIGH,1,ALLOCATE,98.7992
rl1,cenario1_tempo_fixo/310s_20percent,19,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,19,0,SIMILARITY_MEDIUM,1,ALLOCATE,20.6386
rl1,cenario1_tempo_fixo/310s_20percent,19,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,72.3927
rl1,cenario1_tempo_fixo/310s_20percent,19,1,SIMILARITY_HIGH,1,ALLOCATE,99.1118
rl1,cenario1_tempo_fixo/310s_20percent,20,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,20,0,SIMILARITY_MEDIUM,1,ALLOCATE,20.6386
rl1,cenario1_tempo_fixo/310s_20percent,20,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,73.5766
rl1,cenario1_tempo_fixo/310s_20percent,20,1,SIMILARITY_HIGH,1,ALLOCATE,99.1721
rl1,cenario1_tempo_fixo/310s_20percent,21,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,21,0,SIMILARITY_MEDIUM,1,ALLOCATE,20.6386
rl1,cenario1_tempo_fixo/310s_20percent,21,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,73.5766
rl1,cenario1_tempo_fixo/310s_20percent,21,1,SIMILARITY_HIGH,1,ALLOCATE,99.4572
rl1,cenario1_tempo_fixo/310s_20percent,22,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,2.40633
rl1,cenario1_tempo_fixo/310s_20percent,22,0,SIMILARITY_MEDIUM,1,ALLOCATE,31.0551
rl1,cenario1_tempo_fixo/310s_20percent,22,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,73.5766
rl1,cenario1_tempo_fixo/310s_20percent,22,1,SIMILARITY_HIGH,1,ALLOCATE,99.5189
rl1,cenario1_tempo_fixo/310s_20percent,23,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,2.40633
